,index,precision,recall,f1-score,support,origin
0,Normal,0.9829059829059829,0.49145299145299143,0.6552706552706553,234.0,ResNet_bestAcc
1,Pneumonia,0.7652859960552268,0.9948717948717949,0.8651059085841695,390.0,ResNet_bestAcc
2,accuracy,0.8060897435897436,0.8060897435897436,0.8060897435897436,0.8060897435897436,ResNet_bestAcc
3,macro avg,0.8740959894806049,0.7431623931623932,0.7601882819274124,624.0,ResNet_bestAcc
4,weighted avg,0.8468934911242604,0.8060897435897436,0.7864176885916018,624.0,ResNet_bestAcc
5,Normal,0.8648648648648649,0.41025641025641024,0.5565217391304348,234.0,ViT_bestAcc
6,Pneumonia,0.7309941520467836,0.9615384615384616,0.8305647840531561,390.0,ViT_bestAcc
7,accuracy,0.7548076923076923,0.7548076923076923,0.7548076923076923,0.7548076923076923,ViT_bestAcc
8,macro avg,0.7979295084558242,0.6858974358974359,0.6935432615917955,624.0,ViT_bestAcc
9,weighted avg,0.7811956693535641,0.7548076923076923,0.7277986422071356,624.0,ViT_bestAcc
10,Normal,0.8928571428571429,0.32051282051282054,0.4716981132075472,234.0,VitSAM_bestAcc
11,Pneumonia,0.7055555555555556,0.9769230769230769,0.8193548387096774,390.0,VitSAM_bestAcc
12,accuracy,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,VitSAM_bestAcc
13,macro avg,0.7992063492063493,0.6487179487179487,0.6455264759586123,624.0,VitSAM_bestAcc
14,weighted avg,0.7757936507936508,0.7307692307692307,0.6889835666463786,624.0,VitSAM_bestAcc
